Nama_Pangan,air(g),Energi(Kal),Protein(g),Lemak(g),Karbohidrat(g),Kalsium(mg),Fosfor(mg),Vit_B1(mg),Vit_B2(mg),Vit_C(mg)
"Ikan, telur, asin, mentah","37,8",358,"20,7","26,4","9,4",48,311,"0,21","0,54",0
"Kalio telur, masakan","79,0",193,"10,6","12,4","9,7",148,246,"0,44",0,0
"Telur ayam kampung, segar","73,1",174,"10,8","14,0","1,2",68,268,"0,78","0,62",0
"Telur ayam ras, bagian kuning, segar","49,4",355,"16,3","31,9","0,7",147,586,"0,27","0,51",0
"Telur ayam ras, bagian putih, segar","87,8",50,"10,8",0,"0,8",6,17,0,"0,26",0
"Telur ayam ras, segar","74,3",154,"12,4","10,8","0,7",86,258,"0,12","0,38",0
"Telur ayam, dadar, masakan","61,9",251,"16,3","19,4","1,4",62,250,"0,21",0,0
"Telur bebek alabio, segar","70,0",187,"11,8","14,2","3,0",60,268,"1,55","0,37",0
"Telur bebek tambak, segar","67,7",187,"10,9","12,4","7,9",64,295,"1,62","0,03",0
"Telur bebek, asin, mentah","66,5",179,"13,6","13,3","4,4",120,157,"0,28","0,98",0
"Telur bebek, bagian kuning, segar","47,0",386,"17,0","35,0","0,8",150,400,"0,60","0,68",0
"Telur bebek, bagian putih, segar","88,0",54,"11,0",0,"0,8",21,20,"0,01","0,02",0
"Telur bebek, dadar, masakan","55,1",301,"20,0","23,7",0,71,600,"0,35",0,0
"Telur burung maleo, segar","36,0",436,"26,5","36,3","0,4",154,120,0,"1,00",0
"Telur burung puyuh, segar","79,8",116,"10,7","7,0","1,6",65,191,"0,13","0,65",0
"Telur penyu, segar","7,4",136,"8,6","10,1","2,7",66,282,"0,21","0,02",0
"Anak sapi, daging, gemuk, segar","62,0",184,"18,8","14,0",0,10,200,"0,13","0,17",0
"Anak sapi, daging, kurus, segar","69,0",174,"19,6","10,0",0,11,201,"0,08","0,14",0
"Anak sapi, daging, sedang, segar","68,0",190,"19,1","12,0",0,11,193,"0,14","0,15",0
"Angsa, daging, segar","51,1",349,"16,4","31,5",0,15,188,"0,10","0,24",0
"Ayam goreng church texas, dada","42,2",338,"35,2","20,6","0,4",79,221,"0,52","0,16",0
"Ayam goreng church texas, sayap","47,2",295,"34,0","16,0","1,5",81,179,"0,44","0,13",0
"Ayam goreng church,texas paha","50,3",287,"31,0","15,7","1,7",99,176,"0,66","0,20",0
"Ayam goreng kalasan, paha","46,2",275,"37,4","12,2","1,3",116,237,"0,10",0,0
"Ayam goreng kentucky, dada","46,5",298,"34,2","16,8","0,1",90,284,"0,19",0,0
"Ayam goreng Kentucky, paha","48,7",286,"32,1","16,1","1,1",89,248,"0,50","0,21",0
"Ayam goreng Kentucky,sayap","44,7",297,"35,9","15,2","1,6",103,227,"0,73","0,14",0
Ayam goreng mbok berek dada,"43,4",295,"39,2","13,6","1,0",114,278,"0,19",0,0
"Ayam goreng pasundan, dada","50,1",246,"37,9","9,0","0,7",90,260,"0,16",0,0
"Ayam goreng pasundan, paha","52,8",245,"33,1","11,4","0,3",90,283,"0,37",0,0
"Ayam goreng pioneer, dada","44,5",295,"37,4","14,7","0,6",108,236,"0,10",0,0
"Ayam goreng sukabumi, dada","49,8",244,"36,7","9,2","1,0",81,154,"0,66",0,0
"Ayam goreng sukabumi, paha","46,0",283,"35,7","14,3","0,5",68,106,"0,36",0,0
"Ayam taliwang, masakan","57,5",264,"18,2","20,1","2,7",94,164,0,0,0
"Ayam, ampela, goreng","4,8",270,"32,3","11,2","9,9",129,314,"0,21",0,0
"Ayam, daging, segar","55,9",298,"18,2","25,0",0,14,200,"0,08","0,14",0
"Ayam, dideh/darah, segar","82,0",75,"13,8","1,9","0,7",15,9,"0,02",0,0
"Ayam, hati, segar","53,4",261,"27,4","16,1","1,6",118,373,"0,64","4,38",0
"Ayam, usus, goreng","4,6",473,"45,2","26,3","13,9","1,407",458,"0,57",0,0
"Bebek alabio, daging, segar","57,0",303,"11,3","27,0","3,7",20,293,"0,36","0,04",0
"Bebek, daging, goreng","48,8",300,"24,0","20,7","4,5",170,170,"0,10","0,40",0
Beef burger,"45,5",258,"10,6","9,5","32,5",210,157,"0,95",0,0
"Beef teriyaki, masakan","65,1",151,"8,6","3,1","22,3",142,62,"0,53",0,0
"Beef yakiniku, masakan","67,7",132,"9,8","1,1","20,7",302,67,"0,62",0,0
"Belibis, daging, segar","71,3",131,"20,2","4,3","2,8",8,192,"0,37","0,08",0
Brongkos,"76,4",141,"15,3","3,3","12,6",87,97,"0,40",0,0
"Buaya, daging, dendeng, mentah","12,3",365,"49,6","4,8","30,8",60,130,0,0,0
"Bulgogi, masakan","84,2",72,"11,4","4,9","1,4",214,86,"1,08",0,0
"Burung, sarang, segar","24,8",281,"37,5","0,3","32,1",485,18,0,0,0
"Chicken teriyaki, masakan","68,2",168,"13,0","9,6","7,5",137,106,"0,65",0,0
"Chikiniku, masakan","65,4",143,"9,8","1,4","22,8",301,63,"0,73",0,0
"Coto mangkasara, kuda, masakan","83,5",96,"6,8","5,9","3,8",11,106,"0,23","0,14",0
"Coto mangkasara, sapi, masakan","85,9",84,"6,0","6,0","1,4",8,104,"0,16","0,14",0
"Djibokum, masakan","43,4",248,"10,0","2,3","40,9",116,110,"0,75",0,0
"Domba, daging, gemuk, segar","55,8",317,"15,7","27,7",0,9,157,"0,14","0,23",0
"Domba, daging, kurus, segar","66,3",202,"17,1","14,8",0,10,191,"0,15","0,26",0
"Domba, ginjal, segar","77,8",100,"16,6","3,3","1,0",13,237,"0,51","2,35",13
"Empal (daging) Goreng, masakan","43,9",248,"36,2","6,9","10,1",131,235,"0,55",0,0
Gulai kambing,"78,4",126,"4,2","9,4","6,2",45,73,"0,13","0,01",0
Ham,"42,0",384,"16,9","35,0","0,3",10,136,"0,70","0,95",0
"Itik alabio, daging, dendeng, mentah","12,7",496,"30,3","33,5","18,4",135,370,0,0,0
"Jangang bintatoeng, masakan","73,6",107,"5,3","2,2","16,5",64,61,"0,18","0,02",0
"Kalio ayam, masakan","64,7",203,"16,0","13,5","4,4",278,177,"0,35",0,0
"Kalio jeroan, masakan","68,9",163,"16,5","9,0","4,1",102,268,"0,70",0,0
"Kalio kikil (tunjang), masakan","75,3",122,"13,8","5,7","3,9",154,59,"0,38",0,0
"Kalio otak, masakan","70,3",157,"8,1","8,8","11,4",212,69,"0,45",0,0
"Kambing, daging, segar","70,3",149,"16,6","9,2",0,11,124,"0,09","0,23",0
"Kelinci, daging, segar","74,3",142,"16,9","7,8",0,7,350,"0,11","0,11",0
"Kerbau, daging, segar","80,0",79,"18,7","0,5",0,14,221,"0,06","0,17",0
Kerupuk urat,"3,6",588,"53,7","40,9","1,2",36,15,0,0,0
"Kuda, daging, segar","76,0",113,"18,1","4,1","0,9",10,150,"0,07","0,07",0
"Lawar babi, masakan","68,8",174,"17,0","10,0","3,0",61,141,"0,10",0,0
"Lawar penyu, masakan","66,3",141,"23,0","1,5","7,6",69,141,"0,10",0,0
"Lawara jangang, masakan","72,4",159,"5,0","10,9","10,1",57,107,"0,25","0,16",0
"Menjangan, daging, dendeng, mentah","14,3",322,"55,8","2,0","22,7",55,310,0,0,0
"Naan maran sapi, masakan","14,8",478,"38,3","33,9","5,1",30,390,0,0,0
"Nasu likku, masakan","59,0",196,"14,5","8,3","15,9",69,157,"0,20","0,24",0
"Oramu ninahu ndawa olaho, masakan","74,9",117,"13,7","5,0","4,3",964,804,"0,77","0,04",0
"Paniki masak santan, masakan","25,4",460,"28,5","35,2","7,2",188,357,"0,27","0,19",0
"Pelolah manuk, masakan","60,0",219,"19,7","13,6","4,4",33,160,"0,42",0,0
"Penyu, serapah, masakan","71,3",174,"13,1","12,2","2,2",72,186,0,0,0
"Punai, daging, goreng","54,5",224,"26,2","11,3","4,4",362,362,0,0,0
"Rawon, masakan","86,0",60,"5,4","2,5","4,0",272,153,"0,09",0,0
"Rendang sapi, masakan","57,9",193,"22,6","7,9","7,8",474,211,"0,12",0,0
"Rusa, daging, dendeng, mentah","18,3",536,"40,5","41,5",0,90,420,0,0,0
"RW, anjing, masakan","60,8",198,"24,6","10,7","0,9","1,071",876,"0,35","0,20",0
"Sapi, abon","7,1",212,"18,0","10,6","59,3",150,209,"0,17",0,0
"Sapi, abon, asli","24,8",358,"14,6","16,1","38,6",165,136,"0,13",0,0
"Sapi, babat, segar","76,7",108,"17,6","4,2",0,12,144,"0,15","0,17",0
"Sapi, daging, asap","60,0",182,"32,0","6,0",0,15,300,"0,12","0,23",0
"Sapi, daging, dendeng, mentah","25,0",301,"55,0","9,0",0,30,370,"0,10",0,0
"Sapi, daging, gemuk, segar","60,0",273,"17,5","22,0",0,10,150,"0,08","0,18",0
"Sapi, daging, kornet","53,0",289,"16,0","25,0",0,10,170,"0,01","0,16",0
"Sapi, daging, kurus, segar","69,0",174,"19,6","10,0",0,11,181,"0,07","0,51",0
"Sapi, daging, lemak sedang, segar","66,0",201,"18,8","14,0",0,11,170,"0,08","0,56",0
"Sapi, daging, sosis (Worst)","37,6",448,"14,5","42,3","2,3",28,61,"0,10","0,18",0
"Sapi, daleman, segar","70,1",183,"12,0","14,4","1,4",43,319,"0,31","0,22",0
"Sapi, dideh/darah","75,6",98,"21,9","1,1",0,7,24,"0,01","0,03",0
"Sapi, ginjal, segar","74,9",137,"15,0","8,1","0,9",9,221,"0,37","1,22",13
"Sapi, hati, sosis (liverworst)","56,6",274,"16,0","22,0","3,0",20,150,"0,20","0,96",0
"Sapi, keleponan, segar","83,8",84,"10,5","4,6","0,2",20,13,"0,10","0,14",0
"Sapi, liver, segar","69,7",132,"19,7","3,2","6,0",7,358,"0,26","1,52",31
"Sapi, otak, segar","78,9",123,"10,4","8,6","0,8",16,330,"0,23","0,19",18
"Sapi, paru, dendeng, mentah","9,7",360,"57,3","6,0","19,2",126,903,0,0,0
"Sapi, paru, goreng","45,5",268,"23,9","12,7","14,5",102,315,0,0,0
"Sapi, usus, segar","76,7",126,"14,0","7,2","1,5",14,115,"0,08","0,33",0
"Sate pusut, masakan","52,1",274,"12,9","18,6","13,6",63,190,"0,06",0,0
"Sate, penyu, masakan","57,4",179,"22,5","3,5","13,3",187,238,"0,10",0,0
"Sie reuboh, masakan","32,4",474,"11,2","42,5","11,7",26,62,"0,46","0,26",0
"Sop buntut, masakan","86,1",71,"7,5","3,6","2,2",286,38,"0,14",0,0
"Sop daging sapi, masakan","87,5",49,"5,8","0,5","5,3",158,48,"0,37",0,0
"Sop kaki sapi, masakan","84,5",68,"9,0","1,9","3,7",302,15,"0,46",0,0
"Sop kambing, masakan","91,6",34,"5,5","0,8","1,1",145,37,"0,57",0,0
"Sop konro, masakan","85,0",71,"7,4","2,6","4,5",17,60,"0,12","0,02",0
"Sop saudara, masakan","82,4",89,"7,2","5,0","3,9",10,174,"0,09","0,12",0
"Soto bandung, masakan","89,9",42,"3,9","1,7","2,8",74,75,0,0,0
"Soto banjar, masakan","83,7",110,"2,9","9,5","3,2",28,28,"0,05",0,0
"Soto betawi, masakan","75,9",135,"2,5","8,8","11,5",222,72,"0,04",0,0
"Soto jeroan, masakan","81,4",92,"11,8","4,3","1,4",218,48,"0,36",0,0
"Soto kudus, masakan","91,6",38,"2,6","2,3","1,8",237,67,"0,06",0,0
"Soto madura, masakan","89,8",60,"3,5","4,5","1,3",361,126,"0,06",0,0
"Soto padang, masakan","75,0",127,"5,9","6,6","11,0",298,94,"0,22",0,0
"Soto pekalongan, masakan","83,8",94,"3,0","6,8","5,1",322,79,"0,29",0,0
"Soto pemalang, masakan","86,0",75,"3,6","5,2","3,5",170,80,"0,13",0,0
"Soto sukaraja, masakan","75,9",80,"3,2","3,5","9,0",347,77,"0,04",0,0
"Soto sulung, masakan","88,1",86,"2,3","8,5",0,200,120,"0,08",0,0
"Sukiyaki, masakan","81,0",75,"5,6","0,4","12,2",109,59,"0,37",0,0
"Tedong pallu basa, masakan","81,7",83,"10,4","3,4","2,8",10,139,"0,09","0,53",0
"Tikus rica, masakan","54,9",257,"18,8","18,5","3,8",232,293,"0,28","0,38",0
"Tinoransa, masakan","31,6",516,"17,7","49,5",0,698,648,"0,29","0,17",0
Ulat sagu segar,"65,9",241,"5,8","21,6","5,8",20,70,"0,17","1,45",0
"Ulat sagu, panggang","41,3",380,"11,9","30,3","14,9",30,120,"0,50","2,50",0
"Bayau mi balu, masakan","36,1",313,"6,0","12,2","44,8",0,0,"0,14","0,27",0
"Cucuru bayau, masakan","35,0",349,"6,8","18,7","38,3",0,0,"0,06","0,25",0
"Ikan, telur, asin, mentah","37,8",358,"20,7","26,4","9,4",48,311,"0,21","0,54",0
"Kalio telur, masakan","79,0",193,"10,6","12,4","9,7",148,246,"0,44",0,0
"Telur ayam kampung, segar","73,1",174,"10,8","14,0","1,2",68,268,"0,78","0,62",0
"Telur ayam ras, bagian kuning, segar","49,4",355,"16,3","31,9","0,7",147,586,"0,27","0,51",0
"Telur ayam ras, bagian putih, segar","87,8",50,"10,8",0,"0,8",6,17,0,"0,26",0
"Telur ayam ras, segar","74,3",154,"12,4","10,8","0,7",86,258,"0,12","0,38",0
"Telur ayam, dadar, masakan","61,9",251,"16,3","19,4","1,4",62,250,"0,21",0,0
"Telur bebek alabio, segar","70,0",187,"11,8","14,2","3,0",60,268,"1,55","0,37",0
"Telur bebek tambak, segar","67,7",187,"10,9","12,4","7,9",64,295,"1,62","0,03",0
"Telur bebek, asin, mentah","66,5",179,"13,6","13,3","4,4",120,157,"0,28","0,98",0
"Telur bebek, bagian kuning, segar","47,0",386,"17,0","35,0","0,8",150,400,"0,60","0,68",0
"Telur bebek, bagian putih, segar","88,0",54,"11,0",0,"0,8",21,20,"0,01","0,02",0
"Telur bebek, dadar, masakan","55,1",301,"20,0","23,7",0,71,600,"0,35",0,0
"Telur burung maleo, segar","36,0",436,"26,5","36,3","0,4",154,120,0,"1,00",0
"Telur burung puyuh, segar","79,8",116,"10,7","7,0","1,6",65,191,"0,13","0,65",0
"Telur penyu, segar","7,4",136,"8,6","10,1","2,7",66,282,"0,21","0,02",0
Coklat bubuk,"3,9",311,"8,0","4,0","48,9",125,715,"0,12",0,0
"Coklat manis, batang","1,4",527,"2,0","29,8","62,7",63,287,"0,03","0,02",0
"Coklat pahit,batang","2,3",615,"5,5","42,6","29,2",98,446,"0,05","0,08",0
"Coklat susu, batang","1,0",565,"9,0","35,0","53,6",200,200,"0,08","0,45",0
Gula aren,"7,0",368,0,0,"92,0",75,35,0,"0,01",0
Gula kelapa,"10,0",386,"3,0","10,0","76,0",76,37,0,"0,34",0
Gula putih,"5,4",394,0,0,"94,0",5,1,0,0,0
"Jam, selai","34,0",239,"0,5","0,6","64,5",20,20,"0,01","0,07",0
Kopi bubuk instant,"2,6",129,"12,3","0,5","35,0",179,383,0,"0,21",0
Madu,"20,0",294,"0,3",0,"79,5",5,16,0,"0,04",4
Markisa squash,"46,7",217,"2,5","1,0","49,6",6,83,"0,07","0,02",14
"Markisa squash, BD","74,4",104,"1,2","0,5","23,7",1,88,"0,20","0,02",12
Melase,"21,2",276,0,"0,1","71,0",6,83,"0,04",0,0
Sirup,"44,0",213,0,0,"55,0",0,0,0,0,0
Sirup pirous,"43,3",228,"0,2","0,4","55,9",470,93,0,0,8
Teh hijau daun kering,"7,7",300,"28,3","4,8","53,6",245,415,"0,38","1,24",230
Teh hitam daun kering,"8,0",293,"24,5","2,8","58,8",327,313,"0,07","0,80",9
Teh melati daun kering,"8,1",299,"24,1","3,5","59,0",320,185,"0,07","0,79",85
Susu dan sereal bar,"8,69",413,"6,47","10,98","72,05",410,155,"0,615","0,696","15,4"
"Stick wijen, berbahan dasar gandum, tidak tawar","2,00",541,"10,90","36,70","46,50",170,138,"0,123","0,063",0
"Stick wijen, berbahan dasar gandum, asin","2,00",541,"10,90","36,70","46,50",170,138,"0,123","0,063",0
"Snack, Pretzel, dilapisi cokelat keras","3,06",467,"7,05","17,64","70,07",141,128,"0,360","0,317",0
"Snack, Mixed Berry Bar","15,52",383,"13,16","10,53","58,84",105,343,"0,283","0,285","0,6"
"Snack, Balance, Bar Asli","7,76",415,"28,00","12,00","48,73",543,465,1.628,1.708,"11,2"
"Sarapan bar, kerak jagung dengan buah","14,50",377,"4,40","7,50","72,90",41,103,1.000,1.100,0
"Sarapan bar, gandum, gula, kismis, kelapa (termasuk bar granola)","4,10",464,"9,80","17,60","66,70",60,277,"0,280","0,110","1,0"
"Puff dan tikungan keju, berbahan dasar jagung, dipanggang, rendah lemak","3,00",432,"8,50","12,10","72,35",357,357,"0,540","0,610","21,4"
"Pretzel, lunak, tanpa garam","15,00",345,"8,20","3,10","71,04",23,79,"0,410","0,290",0
"Pretzel, lunak","15,00",338,"8,20","3,10","69,39",23,79,"0,410","0,290",0
"Popcorn, sirup gula / karamel, bebas lemak","6,00",381,"2,00","1,40","90,06",18,55,"0,038","0,058",0
"Popcorn, microwave, rendah lemak, dan sodium","2,80",429,"12,60","9,50","73,39",11,264,"0,350","0,110",0
"Popcorn, microwave, rasa biasa (mentega), dibuat dengan minyak kelapa sawit","0,90",535,"8,38","30,22","57,26",23,275,"0,047","0,060",0
Nasi dan sereal gandum,"7,50",409,"9,09","9,09","72,73",31,136,"0,682","0,773",0
"Makanan Ringan, sticks kentang","2,20",522,"6,70","34,40","53,30",18,172,"0,096","0,116","47,3"
"Makanan Ringan, pretzel, keras, polos, dibuat dengan tepung yang tidak diperkaya, tidak tawar","3,30",381,"9,10","3,50","79,20",36,113,"0,180","0,100",0
"Makanan Ringan, pretzel, keras, polos, dibuat dengan tepung yang tidak diperkaya, diasinkan","3,30",381,"9,10","3,50","79,20",36,113,"0,180","0,100",0
"Makanan Ringan, pretzel, keras, polos, dibuat dengan tepung yang diperkaya, tawar","3,30",381,"9,10","3,50","79,20",36,113,"0,461","0,623",0
"Makanan Ringan, pretzel, keras, polos, asin","3,13",384,"10,04","2,93","80,39",27,128,"0,424","0,332","2,1"
"Makanan Ringan, pretzel, keras, lapisan manisan, rasa cokelat","2,50",457,"7,50","16,70","70,90",74,145,"0,099","0,200","0,5"
"Makanan Ringan, pretzel, keras, gandum utuh termasuk asin dan tawar","3,90",362,"11,10","2,60","81,30",28,125,"0,440","0,291","1,0"
"Makanan Ringan, Pretzel, bebas gluten yang terbuat dari tepung jagung dan tepung kentang","6,91",389,"3,52","6,67","78,62",0,21,"0,015","0,003","0,3"
"Makanan Ringan, popcorn, tanpa garam","4,10",382,"12,00","4,20","77,90",10,300,"0,203","0,283",0
"Makanan Ringan, popcorn, rasa keju","2,50",526,"9,30","33,20","51,60",113,361,"0,124","0,241","0,5"
"Makanan Ringan, popcorn, popcorn minyak, popcorn putih, garam ditambahkan","2,80",500,"9,00","28,10","57,20",10,250,"0,134","0,136","0,3"
"Makanan Ringan, popcorn, olahan rumah, minyak muncul, tawar","2,80",500,"9,00","28,10","58,10",10,250,"0,130","0,140","0,3"
"Makanan Ringan, popcorn, minyak, microwave, rasa biasa, tanpa lemak trans","1,20",583,"7,29","43,55","45,06",4,199,"0,134","0,057","0,3"
"Makanan Ringan, popcorn, microwave, rendah lemak","2,80",424,"12,60","9,50","72,00",11,264,"0,350","0,110",0
"Makanan Ringan, popcorn, microwave, rasa biasa (mentega), dibuat dengan minyak terhidrogenasi sebagian","0,34",557,"7,50","34,02","55,16",20,251,"0,032","0,046","0,1"
"Makanan Ringan, popcorn, microwave, 94% bebas lemak","4,22",402,"10,72","6,10","76,04",14,304,"0,070","0,151",0
"Makanan Ringan, popcorn, kue","5,00",384,"9,70","3,10","80,10",9,277,"0,075","0,178",0
"Makanan Ringan, popcorn, dilapisi karamel, tanpa kacang","2,80",431,"3,80","12,80","79,10",43,83,"0,065","0,070",0
"Makanan Ringan, popcorn, dilapisi karamel, dengan kacang","3,30",400,"6,40","7,80","80,70",66,127,"0,051","0,126",0
"Makanan Ringan, popcorn, ber-acar","3,32",387,"12,94","4,54","77,78",7,358,"0,104","0,083",0
"Makanan Ringan, permen, yogurt yang ditutupi dengan vitamin C","3,73",415,0,"7,50","86,90",500,190,"0,079","0,343","180,0"
"Makanan Ringan, permen gulung, yogurt, buah dibumbui dengan vitamin C tinggi","17,59",359,"0,46","6,53","74,64",430,18,"0,015","0,025","260,8"
"Makanan Ringan, nasi batangan, keripik coklat","7,00",404,"5,10","13,50","73,00",21,134,"0,530","0,600",0
"Makanan Ringan, nasi batangan renyah, almond","6,70",458,"7,00","20,40","64,60",74,167,1.323,1.499,"11,5"
"Makanan Ringan, Mills Umum, Campuran Chex, Rasa Tradisional","2,98",428,"8,83","10,00","75,69",50,170,"0,356","0,316","0,1"
"Makanan Ringan, M&M Mars, Kudos Whole Grain Bars, Selai Kacang","7,00",463,"5,88","20,78","64,69",871,0,0,0,"0,3"
"Makanan Ringan, M&M Mars, Kudos Whole Grain Bar, M & M's Milk Chocolate","8,00",415,"3,78","11,95","73,01",943,0,0,0,"0,2"
"Makanan Ringan, M&M Mars, Kudos Whole Grain Bar, Chip Coklat","4,90",420,"4,47","13,02","72,31","1,084",207,"0,169","0,201","0,1"
"Makanan Ringan, M&M Mars, Combos Makanan Ringan Keju Predd Cheddar","1,67",463,"9,85","16,92","66,50",197,143,"0,300","0,557",0
"Makanan Ringan, kulit buah, potongan, dengan vitamin C","10,20",373,"0,10","3,50","85,20",18,24,"0,043","0,100","120,0"
"Makanan Ringan, kulit babi, rasa barbekyu","2,10",538,"57,90","31,80","1,60",43,220,"0,084","0,432","1,5"
"Makanan Ringan, kulit babi, polos","1,80",544,"61,30","31,30",0,30,85,"0,099","0,283","0,5"
"Makanan Ringan, kue jagung, natrium sangat rendah","4,60",387,"8,10","2,40","83,40",19,157,"0,250","0,050",0
"Makanan Ringan, kue jagung","4,60",387,"8,10","2,40","83,40",19,157,"0,250","0,050",0
"Makanan Ringan, kue beras, beras merah, soba, tawar","5,90",380,"9,00","3,50","80,10",11,380,"0,056","0,103",0
"Makanan Ringan, kue beras, beras merah, soba","5,90",380,"9,00","3,50","80,10",11,380,"0,056","0,103",0
"Makanan Ringan, kue beras, beras merah, polos, tawar","5,80",387,"8,20","2,80","81,50",11,360,"0,061","0,165",0
"Makanan Ringan, kue beras, beras merah, multigrain, tanpa garam","6,30",387,"8,50","3,50","80,10",21,370,"0,067","0,184",0
"Makanan Ringan, kue beras, beras merah, multigrain","6,30",387,"8,50","3,50","80,10",21,370,"0,067","0,184",0
"Makanan Ringan, kue beras, beras merah, gandum hitam","6,80",386,"8,10","3,80","79,90",21,380,"0,091","0,090",0
"Makanan Ringan, kue beras, beras merah, biji wijen, tawar","5,90",392,"7,60","3,80","81,50",12,375,"0,048","0,085","3,0"
"Makanan Ringan, kue beras, beras merah, biji wijen","5,90",392,"7,60","3,80","81,50",12,375,"0,048","0,085","3,0"
"Makanan Ringan, Kraft, Cornnuts, polos","1,30",446,"8,50","15,64","71,86",9,275,"0,041","0,130",0
"Makanan Ringan, kerupuk nasi beras merah, biasa saja","5,80",387,"8,20","2,80","81,50",11,360,"0,061","0,165",0
"Makanan Ringan, keripik yucca (singkong), asin","2,80",515,"1,34","25,91","69,23",52,99,"0,050","0,027",0
"Makanan Ringan, keripik tortilla, ringan (dipanggang dengan sedikit minyak)","1,30",465,"8,70","15,20","73,40",159,318,"0,220","0,280","0,2"
"Makanan Ringan, keripik tortilla, rendah lemak, tawar","1,70",416,"11,00","5,70","80,10",159,318,"0,220","0,280","0,2"
"Makanan Ringan, keripik tortilla, rendah lemak, dibuat dengan olestra, keju nacho","1,66",318,"8,44","3,53","65,22",128,245,"0,206","0,130","5,5"
"Makanan Ringan, keripik tortilla, rasa taco","1,60",480,"7,90","24,20","63,10",155,239,"0,242","0,204","0,9"
"Makanan Ringan, keripik tortilla, rasa peternakan","3,14",501,"7,19","24,63","62,74",134,252,"0,048","0,060",0
"Makanan Ringan, keripik tortilla, rasa nacho, lemak berkurang","1,30",445,"8,70","15,20","71,60",159,318,"0,222","0,274","0,2"
"Makanan Ringan, keripik tortilla, rasa nacho, dibuat dengan tepung masa yang diperkaya","1,70",498,"7,80","25,60","62,40",147,244,"0,400","0,350","1,8"
"Makanan Ringan, keripik tortilla, polos, jagung putih, asin","2,64",472,"7,10","20,68","67,78",106,225,"0,140","0,070",0
"Makanan Ringan, keripik tortilla, keju nacho","1,66",519,"7,36","27,42","60,81",137,252,"0,153","0,136","0,4"
"Makanan Ringan, keripik tortilla, jagung tawar, putih","2,09",503,"7,79","23,36","65,32",174,200,"0,015","0,100",0
"Makanan Ringan, keripik talas","2,00",498,"2,30","24,90","68,10",60,131,"0,174","0,029","5,0"
"Makanan Ringan, keripik sayuran, terbuat dari sayuran kebun","6,31",473,"5,32","23,30","60,43",52,130,"0,133","0,059","4,9"
"Makanan Ringan, Keripik Sayuran, Grup Hel Celestial, Terra Chips","4,54",517,"4,13","29,81","57,97",79,198,"0,227","0,131","12,1"
"Makanan Ringan, keripik pita, asin","2,00",457,"11,79","15,20","68,26",17,124,"0,560","0,307",0
"Makanan Ringan, keripik pisang, asin","2,09",531,"2,28","29,59","63,84",9,78,"0,065","0,040","32,1"
"Makanan Ringan, keripik pisang","4,30",519,"2,30","33,60","58,40",18,56,"0,085","0,017","6,3"
"Makanan Ringan, keripik nasi merah","5,80",384,"8,20","2,80","81,50",11,360,"0,061","0,165",0
"Makanan Ringan, keripik kentang, terbuat dari kentang kering, rasa keju","1,90",551,"7,00","37,00","50,60",110,163,"0,180","0,120","8,5"
"Makanan Ringan, keripik kentang, terbuat dari kentang kering, polos","2,37",545,"4,62","35,28","55,38",17,110,"0,210","0,070","1,2"
"Makanan Ringan, keripik kentang, terbuat dari kentang kering, mengurangi lemak","2,22",502,"4,56","26,14","64,76",29,129,"0,212","0,015","12,0"
"Makanan Ringan, keripik kentang, terbuat dari kentang kering, krim asam dan rasa bawang","2,00",547,"6,60","37,00","51,30",64,169,"0,180","0,100","9,5"
"Makanan Ringan, keripik kentang, terbuat dari kentang kering, bebas lemak, dibuat dengan olestra","2,63",253,"5,06","0,93","56,00",20,132,"0,177","0,016","108,8"
"Makanan Ringan, keripik kentang, terbuat dari kentang kering (preformed), multigrain","2,27",505,"5,30","24,74","65,34",26,127,"0,132","0,085","0,7"
"Makanan Ringan, keripik kentang, rasa keju","1,80",496,"8,50","27,20","57,70",72,299,"0,155","0,158","54,1"
"Makanan Ringan, keripik kentang, rasa barbekyu","2,48",487,"6,51","31,06","55,92",32,145,"0,221","0,119","62,4"
"Makanan Ringan, keripik kentang, rasa asam-krim-dan-bawang","1,80",531,"8,10","33,90","51,50",72,176,"0,189","0,200","37,3"
"Makanan Ringan, keripik kentang, putih, direstrukturisasi, dipanggang","1,40",469,"5,00","18,20","71,40",125,274,"0,340","0,070",0
"Makanan Ringan, keripik kentang, polos, tawar","1,90",536,"7,00","34,60","52,90",24,165,"0,167","0,197","31,1"
"Makanan Ringan, keripik kentang, polos, dibuat dengan minyak kedelai terhidrogenasi sebagian, tawar","1,90",536,"7,00","34,60","52,90",24,165,"0,167","0,197","31,1"
"Makanan Ringan, keripik kentang, polos, dibuat dengan minyak kedelai terhidrogenasi parsial, asin","1,90",536,"7,00","34,60","52,90",24,165,"0,167","0,197","31,1"
"Makanan Ringan, keripik kentang, polos, asin","1,86",532,"6,39","33,98","53,83",21,153,"0,213","0,088","21,6"
"Makanan Ringan, keripik kentang, mengurangi lemak","1,00",471,"7,10","20,80","66,90",21,193,"0,208","0,267","25,7"
"Makanan Ringan, keripik kentang, bebas lemak, dibuat dengan olestra","2,00",274,"7,74","0,70","65,00",35,174,"0,329","0,050","28,3"
"Makanan Ringan, keripik kentang, bebas lemak, asin","2,00",379,"9,64","0,60","83,76",35,167,1.080,"0,115","9,3"
